file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_085238.lvm,918971,208960,199966,282069,1191
client_storage/R2017_10_06/M171006_052227.lvm,932048,204148,180821,267776,1173
client_storage/R2017_10_06/M171006_063002.lvm,933865,199792,179446,266327,1217
client_storage/R2017_10_06/M171006_040031.lvm,927373,211784,203523,287408,1167
client_storage/R2017_10_06/M171006_074728.lvm,937030,199632,180445,264410,1390
client_storage/R2017_10_06/M171006_052709.lvm,935604,199284,182589,264196,1316
client_storage/R2017_10_06/M171006_044155.lvm,929757,198720,174706,261572,1071
client_storage/R2017_10_06/M171006_063334.lvm,934391,200124,181026,265803,1164
client_storage/R2017_10_06/M171006_014720.lvm,930365,203668,185062,269938,1216
client_storage/R2017_10_06/M171006_031916.lvm,928356,199532,177987,267886,1120
client_storage/R2017_10_06/M171006_071505.lvm,928000,202096,183966,273801,1276
client_storage/R2017_10_06/M171006_013713.lvm,932971,197400,177089,262452,1268
client_storage/R2017_10_06/M171006_000543.lvm,930130,200060,179414,266592,1247
client_storage/R2017_10_06/M171006_055108.lvm,930537,204960,193912,273334,1308
client_storage/R2017_10_06/M171006_081053.lvm,935473,199772,178910,264186,1220
client_storage/R2017_10_06/M171006_050253.lvm,934836,199796,184631,268807,1200
client_storage/R2017_10_06/M171006_065105.lvm,927723,197092,181300,263289,1041
client_storage/R2017_10_06/M171006_065816.lvm,935275,201376,181977,270317,1149
client_storage/R2017_10_06/M171006_021245.lvm,919445,200652,180952,270566,1111
client_storage/R2017_10_06/M171006_051535.lvm,927277,201496,187022,274346,1344
client_storage/R2017_10_06/M171006_062343.lvm,935396,195696,170237,255192,1213
client_storage/R2017_10_06/M171006_052552.lvm,930060,198252,177749,270707,1138
client_storage/R2017_10_06/M171006_083705.lvm,921290,207124,181954,277780,1232
client_storage/R2017_10_06/M171006_083544.lvm,929194,202928,183073,274432,1325
client_storage/R2017_10_06/M171006_023854.lvm,925922,199808,179895,272482,1213
client_storage/R2017_10_06/M171006_052231.lvm,932075,201124,180598,267157,1137
client_storage/R2017_10_06/M171006_063936.lvm,936938,197632,186890,266545,1348
client_storage/R2017_10_06/M171006_060633.lvm,929456,202712,183445,268271,1241
client_storage/R2017_10_06/M171006_071645.lvm,935509,197464,178015,265407,1301
