file_name,original_size,lzma,bz2,zlib,x264
client_storage/R2017_10_06/M171006_040056.avi,455168,331524,312853,342090,27247
client_storage/R2017_10_06/M171006_040114.avi,488960,376340,357893,384708,32890
client_storage/R2017_10_06/M171006_040245.avi,503296,385452,366584,393912,32035
client_storage/R2017_10_06/M171006_040440.avi,450048,332356,313999,341583,26011
client_storage/R2017_10_06/M171006_040526.avi,476672,352988,333619,363080,30410
client_storage/R2017_10_06/M171006_040533.avi,454144,338524,319391,349018,26678
client_storage/R2017_10_06/M171006_040542.avi,473600,351112,332434,360495,26466
client_storage/R2017_10_06/M171006_040744.avi,474624,357612,338899,366711,29772
client_storage/R2017_10_06/M171006_040836.avi,505856,389016,373473,396429,36898
client_storage/R2017_10_06/M171006_040935.avi,398848,273220,253388,285889,17060
client_storage/R2017_10_06/M171006_040955.avi,407040,283352,265186,295026,18706
client_storage/R2017_10_06/M171006_041014.avi,421376,295844,278883,305968,20167
client_storage/R2017_10_06/M171006_041058.avi,410624,290292,271504,301675,19109
client_storage/R2017_10_06/M171006_041210.avi,466944,345932,328548,354814,28304
client_storage/R2017_10_06/M171006_041224.avi,461824,341292,324832,350665,28400
client_storage/R2017_10_06/M171006_041359.avi,462848,343544,324465,354055,27465
client_storage/R2017_10_06/M171006_041402.avi,458240,338568,320250,348208,27080
client_storage/R2017_10_06/M171006_041426.avi,413696,294264,275006,305398,18597
client_storage/R2017_10_06/M171006_041451.avi,421376,304452,286878,314490,20502
client_storage/R2017_10_06/M171006_041532.avi,424448,303692,284710,314033,19422
client_storage/R2017_10_06/M171006_041812.avi,404480,284276,264093,296414,18087
client_storage/R2017_10_06/M171006_042011.avi,414720,295892,276170,308087,20480
client_storage/R2017_10_06/M171006_042016.avi,467968,347804,332604,356561,30026
client_storage/R2017_10_06/M171006_042019.avi,427008,306880,287606,317663,21083
client_storage/R2017_10_06/M171006_042045.avi,424960,305612,288344,316146,17060
client_storage/R2017_10_06/M171006_042102.avi,467968,346916,329264,356037,27581
client_storage/R2017_10_06/M171006_042116.avi,485376,370232,348202,380353,32128
client_storage/R2017_10_06/M171006_042126.avi,501248,381976,364654,390440,32996
client_storage/R2017_10_06/M171006_042151.avi,454656,335080,318710,344562,25213
client_storage/R2017_10_06/M171006_042212.avi,415232,293192,274010,304444,19925
client_storage/R2017_10_06/M171006_042237.avi,413696,293172,274336,304499,17860
client_storage/R2017_10_06/M171006_042254.avi,480256,362676,344539,371281,31932
client_storage/R2017_10_06/M171006_042529.avi,445952,328188,311227,337663,25085
client_storage/R2017_10_06/M171006_042740.avi,423424,301364,281150,313183,21041
client_storage/R2017_10_06/M171006_042831.avi,412672,295352,274981,307001,19117
client_storage/R2017_10_06/M171006_043026.avi,463360,346336,328761,355950,29427
client_storage/R2017_10_06/M171006_043030.avi,464896,341116,324615,350303,28066
client_storage/R2017_10_06/M171006_043052.avi,465920,349168,333260,357125,28458
client_storage/R2017_10_06/M171006_043210.avi,415232,290784,271255,302153,17999
client_storage/R2017_10_06/M171006_043211.avi,411136,282812,266882,293345,16565
client_storage/R2017_10_06/M171006_043258.avi,447488,326644,308129,336710,23412
client_storage/R2017_10_06/M171006_043325.avi,461312,347516,329651,354966,21093
client_storage/R2017_10_06/M171006_043327.avi,446976,333160,319633,340940,21207
client_storage/R2017_10_06/M171006_043330.avi,456704,333724,317213,342596,18291
client_storage/R2017_10_06/M171006_043527.avi,462336,346204,327738,355618,29085
client_storage/R2017_10_06/M171006_043743.avi,519168,402896,385162,410919,39676
client_storage/R2017_10_06/M171006_043820.avi,448000,329672,311433,339231,26827
client_storage/R2017_10_06/M171006_044014.avi,444416,320668,303705,330198,23653
client_storage/R2017_10_06/M171006_044017.avi,401408,280144,260032,292503,17214
client_storage/R2017_10_06/M171006_044052.avi,459264,341780,322315,351473,28907
client_storage/R2017_10_06/M171006_044106.avi,410624,291744,271335,304247,20022
client_storage/R2017_10_06/M171006_044155.avi,419328,295980,276783,306914,20089
client_storage/R2017_10_06/M171006_044217.avi,413184,295628,278264,305433,18037
client_storage/R2017_10_06/M171006_044227.avi,426496,309360,292251,318243,20148
client_storage/R2017_10_06/M171006_044234.avi,452096,336588,318778,347176,26597
client_storage/R2017_10_06/M171006_044254.avi,461824,339268,321555,348544,27517
client_storage/R2017_10_06/M171006_044332.avi,454656,335280,316861,344527,25244
client_storage/R2017_10_06/M171006_044410.avi,460288,339752,322171,348662,27962
client_storage/R2017_10_06/M171006_044453.avi,438784,324076,306984,333459,24932
client_storage/R2017_10_06/M171006_044555.avi,428544,307580,289561,317608,20527
client_storage/R2017_10_06/M171006_044629.avi,470016,351660,333330,360732,29327
client_storage/R2017_10_06/M171006_044635.avi,418816,299280,279749,310931,21648
client_storage/R2017_10_06/M171006_044703.avi,479744,361880,346824,370049,30031
client_storage/R2017_10_06/M171006_044728.avi,448512,333168,313912,342707,25391
client_storage/R2017_10_06/M171006_044829.avi,420864,298756,279378,310096,20601
client_storage/R2017_10_06/M171006_044838.avi,423936,302388,283906,313044,20287
client_storage/R2017_10_06/M171006_044910.avi,401408,276976,257227,289401,18259
client_storage/R2017_10_06/M171006_044944.avi,412160,288960,270512,300349,19561
client_storage/R2017_10_06/M171006_045053.avi,465408,343120,326656,351920,28017
client_storage/R2017_10_06/M171006_045131.avi,453632,341708,323601,350775,27460
client_storage/R2017_10_06/M171006_045216.avi,459264,341372,322397,350980,28137
client_storage/R2017_10_06/M171006_045256.avi,420352,297084,275984,309500,19820
client_storage/R2017_10_06/M171006_045318.avi,429056,309108,290626,319983,21539
client_storage/R2017_10_06/M171006_045434.avi,479744,355304,335436,365087,30888
client_storage/R2017_10_06/M171006_045521.avi,445952,321188,303106,331017,22700
client_storage/R2017_10_06/M171006_045610.avi,443904,315748,296525,326714,21256
client_storage/R2017_10_06/M171006_045628.avi,433152,312188,291918,323401,22262
client_storage/R2017_10_06/M171006_045642.avi,466432,349716,333140,358773,30077
client_storage/R2017_10_06/M171006_045646.avi,436736,322444,302815,332700,24712
client_storage/R2017_10_06/M171006_045652.avi,421376,298784,279373,309892,19722
client_storage/R2017_10_06/M171006_045701.avi,417280,300528,281640,311770,20897
client_storage/R2017_10_06/M171006_045717.avi,467968,349504,334200,357702,27465
client_storage/R2017_10_06/M171006_045852.avi,458240,339776,323567,349571,27959
client_storage/R2017_10_06/M171006_045926.avi,419328,297420,278984,308315,20228
client_storage/R2017_10_06/M171006_050005.avi,451584,330712,311576,340371,16126
client_storage/R2017_10_06/M171006_050016.avi,425472,300148,285897,308816,14549
client_storage/R2017_10_06/M171006_050151.avi,463360,343504,325057,353818,29934
client_storage/R2017_10_06/M171006_050230.avi,421376,292484,276379,302602,17274
client_storage/R2017_10_06/M171006_050235.avi,399360,266640,250609,278185,13919
client_storage/R2017_10_06/M171006_050240.avi,414720,288676,271815,300139,18497
client_storage/R2017_10_06/M171006_050246.avi,428032,304384,284181,315961,18739
client_storage/R2017_10_06/M171006_050249.avi,418304,296512,277446,307910,17939
client_storage/R2017_10_06/M171006_050252.avi,430080,309344,290107,320015,18150
client_storage/R2017_10_06/M171006_050253.avi,439296,317716,299622,328416,20843
client_storage/R2017_10_06/M171006_050322.avi,394240,267228,249351,279781,17176
client_storage/R2017_10_06/M171006_050349.avi,415744,284204,266298,295583,19390
client_storage/R2017_10_06/M171006_050502.avi,435200,306692,285103,319184,21077
client_storage/R2017_10_06/M171006_050511.avi,444928,326720,309244,337110,24089
client_storage/R2017_10_06/M171006_050522.avi,407552,286896,267174,298126,18637
client_storage/R2017_10_06/M171006_050552.avi,404992,279380,262633,290537,15472
client_storage/R2017_10_06/M171006_050601.avi,406528,288280,267401,300735,17654
client_storage/R2017_10_06/M171006_050629.avi,470016,353136,338275,360359,25789
client_storage/R2017_10_06/M171006_050714.avi,424448,302884,282371,314716,21517
client_storage/R2017_10_06/M171006_050738.avi,457728,326024,304492,337289,24895
client_storage/R2017_10_06/M171006_050842.avi,428032,305308,286197,316108,20772
client_storage/R2017_10_06/M171006_050846.avi,413184,296732,277732,308883,20069
client_storage/R2017_10_06/M171006_050852.avi,430592,308992,290293,319395,22229
client_storage/R2017_10_06/M171006_050903.avi,412672,292964,273726,304372,18701
client_storage/R2017_10_06/M171006_050911.avi,418304,297760,280987,308137,20549
client_storage/R2017_10_06/M171006_050915.avi,425472,300572,281375,312248,20140
client_storage/R2017_10_06/M171006_050932.avi,415232,295536,275033,307515,20091
client_storage/R2017_10_06/M171006_050938.avi,458240,340960,322163,350895,28372
client_storage/R2017_10_06/M171006_050954.avi,478208,351648,331511,361896,29810
client_storage/R2017_10_06/M171006_051032.avi,471552,352492,333349,362277,30468
client_storage/R2017_10_06/M171006_051132.avi,461824,341352,322115,351155,26708
client_storage/R2017_10_06/M171006_051137.avi,438784,319688,302042,329533,23081
client_storage/R2017_10_06/M171006_051145.avi,428032,299068,280930,309140,19952
client_storage/R2017_10_06/M171006_051156.avi,406016,282052,262973,294257,18589
client_storage/R2017_10_06/M171006_051247.avi,472576,353176,337134,361431,28408
client_storage/R2017_10_06/M171006_051319.avi,470016,353904,339060,362144,29174
client_storage/R2017_10_06/M171006_051329.avi,473088,358592,343267,367194,31109
client_storage/R2017_10_06/M171006_051333.avi,458752,338240,321909,347768,28340
client_storage/R2017_10_06/M171006_051359.avi,467968,348844,331277,358445,29361
