file_name,original_size,lzma,bz2,zlib,wavelets
..\client_storage\R2017_10_06\M171006_051503.lvm,932302,199500,182509,265004,1316
..\client_storage\R2017_10_06\M171006_051535.lvm,927277,201496,187022,274346,1345
..\client_storage\R2017_10_06\M171006_051540.lvm,929068,199132,172111,265810,1275
..\client_storage\R2017_10_06\M171006_051544.lvm,927070,196140,164907,261685,1256
..\client_storage\R2017_10_06\M171006_051554.lvm,926292,203408,178707,268171,1250
..\client_storage\R2017_10_06\M171006_051604.lvm,927201,200380,175446,267210,1129
..\client_storage\R2017_10_06\M171006_051616.lvm,926186,201348,184553,268548,1166
..\client_storage\R2017_10_06\M171006_051633.lvm,927134,215576,220762,297521,1351
..\client_storage\R2017_10_06\M171006_051640.lvm,926287,213432,217140,296278,1341
..\client_storage\R2017_10_06\M171006_051709.lvm,922799,200488,173993,267725,1221
..\client_storage\R2017_10_06\M171006_051736.lvm,924666,197404,183264,266684,1206
..\client_storage\R2017_10_06\M171006_051753.lvm,922003,197816,175477,262960,1128
..\client_storage\R2017_10_06\M171006_051828.lvm,923620,213140,210189,292066,1183
..\client_storage\R2017_10_06\M171006_051851.lvm,924648,213700,207432,290327,1246
..\client_storage\R2017_10_06\M171006_051925.lvm,928951,201144,182515,273208,1139
..\client_storage\R2017_10_06\M171006_051934.lvm,930922,201264,180446,269462,1115
..\client_storage\R2017_10_06\M171006_051950.lvm,935223,203316,186114,270452,1320
..\client_storage\R2017_10_06\M171006_051953.lvm,932808,202976,183931,272545,1133
..\client_storage\R2017_10_06\M171006_052001.lvm,936286,199636,181976,261948,1335
..\client_storage\R2017_10_06\M171006_052004.lvm,933899,194852,177884,263021,1188
..\client_storage\R2017_10_06\M171006_052010.lvm,934148,199336,180235,264977,1159
..\client_storage\R2017_10_06\M171006_052037.lvm,925988,200912,180596,269744,1195
..\client_storage\R2017_10_06\M171006_052040.lvm,932436,200908,182301,269751,1300
..\client_storage\R2017_10_06\M171006_052044.lvm,934254,198152,179058,260205,1297
..\client_storage\R2017_10_06\M171006_052047.lvm,935560,195632,180163,259634,1297
..\client_storage\R2017_10_06\M171006_052051.lvm,932923,199196,176360,262208,1199
..\client_storage\R2017_10_06\M171006_052122.lvm,932282,201072,186246,273023,1249
..\client_storage\R2017_10_06\M171006_052129.lvm,932425,200008,179164,264758,1185
